平台,页面,定义,Tag,eventKey,eventValue,category,Version,Active,Remark
web,首页-学生,首页右侧，hover“下载手机应用”,首页,hoverHomeQRCode,,site,v3.3,Future,
web,首页-学生,首页右侧，点击“登录”tab,登录,clickHomeLoginTab,,site,v3.3,Future,
web,首页-学生,首页右侧，点击“注册”tab,注册,clickHomeSignupTab,,site,v3.3,Future,
web,首页-学生,首页右侧注册界面，点击“我是学生”,注册,clickHomeStudentSignupRadio,,site,v3.3,Future,
web,首页-学生,首页右侧注册界面，点击“我是老师”,注册,clickHomeTeacherSignupRadio,,site,v3.3,Future,
web,首页-学生,首页右侧注册界面，切换“同意用户协议”复选框,注册,clickHomeAgreeLicense,value: Boolean，用户点击后的checkbox是否被选中,site,v3.3,Future,
web,首页-学生,首页右侧注册界面，点击“立即免费使用”,注册,clickHomeSignupBtn,,site,v3.3,Future,
web,首页-学生,首页右侧下方批量注册用户快速入口，点击“由此进入”,首页,clickEnterClassUserPage,,site,v3.3,Future,
web,首页-学生,首页右侧登录界面，点击“忘记密码”,登录,clickHomeForgetPasswd,,site,v3.3,Future,
web,首页-学生,首页右侧登录界面，点击“登录”,登录,clickHomeLoginBtn,,site,v3.3,Future,
web,首页-学生,首页右侧登录/注册界面，点击“QQ账号登录”,登录,clickHomeQQLogin,,site,v3.3,Future,
web,班级用户进入页,班级用户进入页，点击“班级编号”tab,登录,clickSwitchClassCodeEnter,,site,v3.3,Future,
web,班级用户进入页,班级用户进入页，点击“切换账号”tab,登录,clickSwitchAccountEnter,,site,v3.3,Future,
web,班级用户进入页,班级用户进入页，账号登录界面，点击“立即登录”,登录,clickLoginWithAccount,,site,v3.3,Future,
web,班级用户进入页,班级用户进入页，班级编号界面，点击“立即注册”,注册,clickSignupWIthClassCode,,site,v3.3,Future,
app,题目页,填空题题目页，调起软键盘后，点击“草稿本”图标,草稿本,clickCallDraftBtn,problemId: ObjectId，埋点发送时所在的题目ID,site,v3.3,Future,
,,,,,problemType: ‘blank’，埋点发送时所在的题目类型（填空题） ,,,,选择题下，用户点击打开草稿本时发送的埋点eventKey相同，但该字段值为’choice’
,,,,,leaveEmpty: Boolean，埋点发送时text中是否含有文本,,,,
app,题目页,选择题题目页，点击“草稿本”,草稿本,clickCallDraftBtn,problemId: ObjectId，埋点发送时所在的题目ID,site,v3.3,Future,
